iter	Accuracy	Logloss
252	0.9811549478	0.09758452006
253	0.9815957677	0.09697166751
254	0.9817059727	0.09653677095
255	0.9819998527	0.0959966866
256	0.9819631177	0.09549145438
257	0.9819998527	0.09518614406
258	0.9824039376	0.09442818572
259	0.9823672026	0.09406688234
260	0.9824406726	0.09371510737
261	0.9825141426	0.0931973218
262	0.9825508776	0.09273552397
263	0.9826610826	0.09242742032
264	0.9826610826	0.09215138696
265	0.9829182275	0.09160816521
266	0.9828814925	0.0914153381
267	0.9828814925	0.09080165191
268	0.9829182275	0.09046791301
269	0.9832488425	0.09001741593
270	0.9834692524	0.08967257185
271	0.9835794574	0.08931378171
272	0.9836529274	0.08866657722
273	0.9836896624	0.08841371024
274	0.9837263974	0.08806013561
275	0.9840570124	0.08744211464
276	0.9841304823	0.08691874908
277	0.9842406873	0.08639347443
278	0.9843876273	0.08589530941
279	0.9844243623	0.0854520256
280	0.9846447723	0.08478768625
281	0.9847182423	0.08451096746
282	0.9846447723	0.08394945234
283	0.9849386522	0.08336221337
284	0.9849019172	0.08303919614
285	0.9850121222	0.08265881859
286	0.9850488572	0.08249037416
287	0.9851223272	0.08209230173
288	0.9853060022	0.08169095952
289	0.9854529421	0.08115017115
290	0.9855264121	0.08079368067
291	0.9857100871	0.08028967529
292	0.9857100871	0.07994591814
293	0.9857100871	0.0795961443
294	0.9857100871	0.07938912064
295	0.9857468221	0.07923128312
296	0.9858937621	0.07866265863
297	0.9859304971	0.0784244308
298	0.9860039671	0.07821954572
299	0.9860774371	0.0778454965
300	0.986297847	0.07745919954
301	0.986261112	0.07724509205
302	0.986371317	0.07686529267
303	0.986408052	0.07657558262
304	0.986444787	0.07621831168
305	0.986481522	0.0760324077
306	0.986481522	0.0757081038
307	0.986628462	0.07537250246
308	0.9868488719	0.07485766746
309	0.9868488719	0.07460488081
310	0.9869590769	0.07421057153
311	0.9869223419	0.07398614982
312	0.9869590769	0.07377147571
313	0.9871060169	0.07343904514
314	0.9873998969	0.0730235065
315	0.9875468368	0.07273798199
316	0.9876203068	0.07250096958
317	0.9877672468	0.07215054229
318	0.9878774518	0.071873738
319	0.9879509218	0.07152517247
320	0.9881713317	0.07134098057
